No.,Season,Episode,Title,Last_Season
81,4,16,The Reigning Lorelai,FALSE
82,4,17,"Girls in Bikinis, Boys Doin' The Twist",FALSE
83,4,18,"Tick, Tick, Tick, Boom!",FALSE
84,4,19,Afterboom,FALSE
85,4,20,Luke Can See Her Face,FALSE
86,4,21,"Last Week Fights, This Week Tights",FALSE
87,4,22,Raincoats and Recipes,FALSE
88,5,1,Say Goodbye to Daisy Miller,FALSE
89,5,2,"A Messenger, Nothing More",FALSE
90,5,3,Written in the Stars,FALSE
91,5,4,"Tippecanoe and Taylor, Too",FALSE
92,5,5,We Got Us a Pippi Virgin,FALSE
93,5,6,"Norman Mailer, I'm Pregnant!",FALSE
94,5,7,"You Jump, I Jump, Jack",FALSE
95,5,8,The Party's Over,FALSE
96,5,9,Emily Says Hello,FALSE
97,5,10,But Not as Cute as Pushkin,FALSE
98,5,11,Women of Questionable Morals,FALSE
99,5,12,Come Home,FALSE
100,5,13,Wedding Bell Blues,FALSE
101,5,14,Say Something,FALSE
102,5,15,Jews and Chinese Food,FALSE
103,5,16,So...Good Talk,FALSE
104,5,17,Pulp Friction,FALSE
105,5,18,To Live and Let Diorama,FALSE
106,5,19,But I'm a Gilmore!,FALSE
107,5,20,How Many Kropogs to Cape Cod?,FALSE
108,5,21,Blame Booze and Melville,FALSE
109,5,22,A House Is Not a Home,FALSE
110,6,1,New and Improved Lorelai,FALSE
111,6,2,Fight Face,FALSE
112,6,3,The UnGraduate,FALSE
113,6,4,"Always a Godmother, Never a God",FALSE
114,6,5,We've Got Magic to Do,FALSE
115,6,6,Welcome to the Doll House,FALSE
116,6,7,Twenty-One is the Loneliest Number,FALSE
117,6,8,Let Me Hear Your Balalaikas Ringing Out,FALSE
118,6,9,The Prodigal Daughter Returns,FALSE
119,6,10,He's Slippin' 'Em Bread...Dig?,FALSE
120,6,11,The Perfect Dress,FALSE
121,6,12,Just Like Gwen and Gavin,FALSE
122,6,13,Friday Night's Alright for Fighting,FALSE
123,6,14,You've Been Gilmored,FALSE
124,6,15,A Vineyard Valentine,FALSE
125,6,16,Bridesmaids Revisited,FALSE
126,6,17,"I'm OK, You're OK",FALSE
127,6,18,The Real Paul Anka,FALSE
128,6,19,I Get a Sidekick Out of You,FALSE
129,6,20,Super Cool Party People,FALSE
130,6,21,Driving Miss Gilmore,FALSE
131,6,22,Partings,FALSE
132,7,1,The Long Morrow,TRUE
133,7,2,"That's What You Get, Folks, for Makin' Whoopee",TRUE
134,7,3,Lorelai's First Cotillion,TRUE
135,7,4,"S Wonderful, 'S Marvelous",TRUE
136,7,5,The Great Stink,TRUE
137,7,6,"Go, Bulldogs!",TRUE
138,7,7,French Twist,TRUE
139,7,8,Introducing Lorelai Planetarium,TRUE
140,7,9,"Knit, People, Knit!",TRUE
141,7,10,Merry Fisticuffs,TRUE
142,7,11,Santa's Secret Stuff,TRUE
143,7,12,To Whom It May Concern,TRUE
144,7,13,I'd Rather Be in Philadelphia,TRUE
145,7,14,"Farewell, My Pet",TRUE
146,7,15,"I Am Kayak, Hear Me Roar",TRUE
147,7,16,Will You Be My Lorelai Gilmore?,TRUE
148,7,17,Gilmore Girls Only,TRUE
149,7,18,Hay Bale Maze,TRUE
150,7,19,It's Just Like Riding a Bike,TRUE
151,7,20,Lorelai? Lorelai?,TRUE
152,7,21,Unto the Breach,TRUE
153,7,22,Bon Voyage,TRUE
